"A._C._Baantjer","subject","Category:Dutch_crime_fiction_writers"
"A._C._Baantjer","subject","Category:Detectives_and_criminal_investigators"
"A._C._Baantjer","subject","Category:1923_births"
"A._C._Baantjer","subject","Category:2010_deaths"
"A._C._Baantjer","subject","Category:20th-century_Dutch_novelists"
"A._C._Baantjer","subject","Category:Deaths_from_cancer_in_the_Netherlands"
"A._C._Baantjer","subject","Category:Deaths_from_esophageal_cancer"
"A._C._Baantjer","subject","Category:Dutch_male_writers"
"A._C._Baantjer","subject","Category:Male_novelists"
"A._C._Baantjer","subject","Category:Male_screenwriters"
"A._C._Baantjer","subject","Category:Writers_from_Amsterdam"
"A._C._Baantjer","subject","Category:21st-century_Dutch_novelists"
"A._C._Baantjer","subject","Category:Dutch_police_officers"
"A._C._Baantjer","subject","Category:Dutch_screenwriters"
"A._C._Baantjer","subject","Category:People_from_Medemblik"
"A._C._Baantjer","subject","Category:People_from_Urk"
"A._Lee_Martinez","subject","Category:1973_births"
"A._Lee_Martinez","subject","Category:21st-century_American_novelists"
"A._Lee_Martinez","subject","Category:21st-century_American_short_story_writers"
"A._Lee_Martinez","subject","Category:American_fantasy_writers"
"A._Lee_Martinez","subject","Category:American_male_novelists"
"A._Lee_Martinez","subject","Category:American_male_short_story_writers"
"A._Lee_Martinez","subject","Category:American_science_fiction_writers"
"A._Lee_Martinez","subject","Category:Living_people"
"A._Lee_Martinez","subject","Category:People_from_El_Paso,_Texas"
"A._Lee_Martinez","subject","Category:Writers_from_Texas"
"A._T._Mann","subject","Category:1943_births"
"A._T._Mann","subject","Category:20th-century_astrologers"
"A._T._Mann","subject","Category:American_architects"
"A._T._Mann","subject","Category:American_artists"
"A._T._Mann","subject","Category:American_astrologers"
"A._T._Mann","subject","Category:American_male_writers"
"A._T._Mann","subject","Category:Cornell_University_College_of_Architecture,_Art,_and_Planning_alumni"
"A._T._Mann","subject","Category:Living_people"
"A._T._Mann","subject","Category:People_from_Auburn,_New_York"
"A._T._Mann","subject","Category:21st-century_astrologers"
"A._T._Mann","subject","Category:Architects_from_New_York"
"Aadhavan_Sundaram","subject","Category:Tamil_writers"
"Aadhavan_Sundaram","subject","Category:1942_births"
"Aadhavan_Sundaram","subject","Category:1987_deaths"
"Aadhavan_Sundaram","subject","Category:Indian_writers"
"Aadhavan_Sundaram","subject","Category:Recipients_of_the_Sahitya_Akademi_Award_in_Tamil"
"Aaron_Cohen_(counterterrorist)","subject","Category:Israeli_soldiers"
"Aaron_Cohen_(counterterrorist)","subject","Category:Israeli_writers"
"Aaron_Cohen_(counterterrorist)","subject","Category:1976_births"
"Aaron_Cohen_(counterterrorist)","subject","Category:American_emigrants_to_Israel"
"Aaron_Cohen_(counterterrorist)","subject","Category:Businesspeople_from_California"
"Aaron_Cohen_(counterterrorist)","subject","Category:Canadian_emigrants_to_the_United_States"
"Aaron_Cohen_(counterterrorist)","subject","Category:Israeli_Jews"
"Aaron_Cohen_(counterterrorist)","subject","Category:Jewish_American_male_actors"
"Aaron_Cohen_(counterterrorist)","subject","Category:Jewish_American_writers"
"Aaron_Cohen_(counterterrorist)","subject","Category:Jewish_Canadian_male_actors"
"Aaron_Cohen_(counterterrorist)","subject","Category:Jewish_Canadian_writers"
"Aaron_Cohen_(counterterrorist)","subject","Category:Living_people"
"Aaron_Cohen_(counterterrorist)","subject","Category:Writers_from_Los_Angeles"
"Aaron_Cohen_(counterterrorist)","subject","Category:Writers_from_Montreal"
"Aaron_Cohen_(counterterrorist)","subject","Category:Israeli_male_actors"
"Abderrahmane_Abdelli","subject","Category:Algerian_musicians"
"Abderrahmane_Abdelli","subject","Category:1958_births"
"Abderrahmane_Abdelli","subject","Category:Living_people"
"Abderrahmane_Abdelli","subject","Category:Real_World_Records_artists"
"Abderrahmane_Abdelli","subject","Category:Kabyle_people"
"Abderrahmane_Abdelli","subject","Category:Berber_Algerians"
"Abderrahmane_Abdelli","subject","Category:Algerian_male_singers"
"Abderrazak_Boukebba","subject","Category:Algerian_novelists"
"Abderrazak_Boukebba","subject","Category:1977_births"
"Abderrazak_Boukebba","subject","Category:Living_people"
